% traindata
@RELATION "traindata: -C -10"

@ATTRIBUTE X0 NUMERIC
@ATTRIBUTE X1 NUMERIC
@ATTRIBUTE y0 {0, 1}
@ATTRIBUTE y1 {0, 1}
@ATTRIBUTE y2 {0, 1}
@ATTRIBUTE y3 {0, 1}
@ATTRIBUTE y4 {0, 1}
@ATTRIBUTE y5 {0, 1}
@ATTRIBUTE y6 {0, 1}
@ATTRIBUTE y7 {0, 1}
@ATTRIBUTE y8 {0, 1}
@ATTRIBUTE y9 {0, 1}

@DATA
-0.2960989742886833,0.5738879700148485,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1.0
0.653362199915444,-0.5417031744080975,0,1.0,1.0,0,1.0,0,1.0,1.0,1.0,1.0
0.00011475024991961714,-0.010694000641716364,0,0,0,0,0,0,0,0,0,0
0.04359550001411389,-0.5481167804495307,0,0,0,0,0,0,0,0,0,0
-0.37606479678977567,0.07301478913602219,0,0,0,0,0,0,0,0,0,0
0.07415539383329195,0.29468554822764415,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.41700721470486196,0.11119889505639913,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-0.25638706750495915,0.5289861989307993,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1.0
0.6128468200454029,0.14555497034078754,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-0.25360806314174666,-0.6888393748275782,0,0,0,0,0,0,0,0,0,0
-0.3106639648850174,-0.5680514196137665,0,0,0,0,0,0,0,0,0,0
-0.7500390920954589,0.3502297256450104,0,0,0,1.0,0,1.0,0,0,0,0
0.050433854945480666,-0.44934249299043116,0,0,0,0,0,0,0,0,0,0
-0.913197648817774,-0.2102082077004488,0,0,0,0,0,0,0,0,0,0
0.16032889830931527,0.04101508947750086,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5422938497042035,0.6135021521978525,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.22485848257519025,0.6055934817855206,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-0.3831658676842735,0.6417739058948326,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1.0
0.3546239763365228,0.12094946879795329,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-0.3514866221707652,-0.27305428676339166,0,0,0,0,0,0,0,0,0,0
-0.8922750694929634,-0.06774783418578034,0,0,0,0,0,0,0,0,0,0
-0.7279613007422874,-0.6620679121819715,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-0.5100334967090417,0.23084629170508864,0,0,0,1.0,0,1.0,0,0,0,0
0.47929552323432856,-0.680145879261828,0,1.0,0,0,1.0,0,1.0,1.0,0,0
-0.8974254304738498,0.26648967904004034,0,0,0,1.0,0,1.0,0,0,0,0
0.9414101289223923,0.0913982093160042,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.20369075830994202,-0.2086966371288687,0,1.0,1.0,0,1.0,0,1.0,1.0,1.0,0
-0.10984338091942916,-0.1642839459626885,0,0,0,0,0,0,0,0,0,0
0.18246988036893186,-0.36950664719693016,0,0,0,0,0,0,1.0,1.0,0,0
0.8944032875419695,-0.279616277536788,1.0,1.0,1.0,0,1.0,0,1.0,1.0,1.0,1.0
0.29769372131625593,0.09861684502116977,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.06077780524287265,0.646075601918933,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.9022202512956982,0.3793259130384176,0,0,0,0,0,0,0,0,0,0
-0.6434925973209301,0.3450834133454988,1.0,0,0,1.0,0,1.0,0,0,0,0
0.5454686429181299,-0.6279658219549269,0,1.0,1.0,0,1.0,0,1.0,1.0,1.0,0
0.48944151107336165,0.2756132040456105,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-0.8167574918748437,0.1393130544776699,0,0,0,0,0,0,0,0,0,0
0.6437893535137327,0.6481982260078648,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.019378981079906175,-0.13383845649325327,0,0,0,0,0,0,0,0,0,0
0.47060012323752326,-0.727103733282807,0,1.0,0,0,0,0,1.0,1.0,0,0
0.9578544537041112,0.26716274894845227,0,0,0,0,0,0,0,0,0,0
-0.8618285280589968,0.07360191983570927,0,0,0,0,0,0,0,0,0,0
0.03520753539471252,0.5283979764494138,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.849096792890114,-0.2613694028673047,1.0,1.0,1.0,0,1.0,0,1.0,1.0,1.0,1.0
0.30152919279814255,-0.11093309906489851,1.0,1.0,1.0,0,1.0,0,1.0,1.0,1.0,1.0
-0.5049637618621734,-0.43920965993692285,0,0,0,0,0,0,0,0,0,0
0.9400075838240137,-0.15805456477569793,0,0,0,0,0,0,0,0,0,0
-0.3041809219339861,0.4484284949744717,1.0,0,1.0,1.0,1.0,1.0,0,0,1.0,1.0
0.42969713336108334,-0.3211474928558778,0,1.0,1.0,0,1.0,0,1.0,1.0,1.0,1.0
-0.33057197895795654,0.1440511674582959,0,0,0,1.0,0,1.0,0,0,0,0
0.0123872773474865,0.13861281769812459,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.767624055970439,-0.2993139516216764,1.0,1.0,1.0,0,1.0,0,1.0,1.0,1.0,1.0
-0.1847722530653629,-0.4212924524569702,0,0,0,0,0,0,0,0,0,0
0.47304376978837565,0.20439239525145866,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.4813142102201136,-0.509813485816653,0,1.0,1.0,0,1.0,0,1.0,1.0,1.0,0
